,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time
0,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,7010,20.56,-0.01848166709413561,0.6850488405961257,58.30745542477339,58.288974145742564,37.232767685865745,8.365449905395508,0.9984472436782641,20000,915,0,2.8528528213500977
1,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,8563,32.25,-0.01709519930673429,0.6574484598942292,67.86971318171574,67.8526182492574,63.0889752974877,7.623302936553955,0.998874358412547,40000,1533,1,4.670851707458496
2,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,9245,70.01,-0.01784802688082728,0.6184565116961797,80.50219598916861,80.48434777871157,74.53912450839312,8.173066139221191,0.9996678479206867,60000,1849,2,6.489665746688843
3,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,9601,99.58,-0.013108506777102891,0.5880131237781965,79.0683486204881,79.05524029854017,78.95675672751207,7.405450820922852,0.9999145575822928,80000,2037,3,8.33246374130249
4,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,9841,163.2,-0.009876406160839953,0.5622169574865928,56.87910571465125,56.86922901104658,82.7721432294601,7.000424861907959,0.9993639003772002,100000,2159,4,10.161050796508789
5,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,10022,218.94,-0.005650769574090074,0.5505654930304258,45.541306136204646,45.535655151269374,79.49471605985593,6.129183292388916,0.9996522892744113,120000,2251,5,11.972808837890625
6,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,10128,270.66,-0.006621993846224191,0.5405111372470855,42.61597708677634,42.60935521981655,75.0406276458349,5.585879325866699,0.9999434458903778,140000,2318,6,13.822628736495972
7,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,10219,315.18,-0.004385154166270812,0.5178126243062509,39.614800757628224,39.61041539021027,68.92404174315624,4.598130702972412,0.9997001456144529,160000,2376,7,15.655613899230957
8,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,10296,380.98,-0.003465103080126051,0.5069613681007654,59.09959897139134,59.096133812879906,71.2089620467944,3.824368715286255,0.9994099801167463,180000,2419,8,17.48221182823181
9,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,10358,421.82,-0.002024891947169239,0.5077152910905006,85.72444402499076,85.72241939153427,77.82984106846345,2.4885141849517822,0.9995947060676721,200000,2464,9,19.30762481689453
10,/Users/haniyeh/Documents/University/Reinforcement Learning/Assignments/A3/assignment3/CartPole-v1/ppo,10404,430.32,-0.0025399138231594594,0.5156900930863161,91.61505318177052,91.61251355929252,84.03292184731899,2.0101962089538574,1.000116292712016,220000,2510,10,21.14493680000305
